[2024-08-22 12:21:45,484: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:21:45,490: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:21:45,493: INFO: common: created directory at: artifacts]
[2024-08-22 12:21:45,495: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:22:22,302: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:22:22,309: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:22:22,312: INFO: common: created directory at: artifacts]
[2024-08-22 12:22:22,315: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:25:06,468: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:25:06,475: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:25:06,478: INFO: common: created directory at: artifacts]
[2024-08-22 12:25:06,481: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:25:50,739: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:25:50,745: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:25:50,749: INFO: common: created directory at: artifacts]
[2024-08-22 12:25:50,752: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:30:11,007: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:30:11,015: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:30:11,018: INFO: common: created directory at: artifacts]
[2024-08-22 12:30:11,023: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:31:02,817: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:31:02,822: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:31:02,823: INFO: common: created directory at: artifacts]
[2024-08-22 12:31:02,826: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:31:31,835: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:31:31,841: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:31:31,845: INFO: common: created directory at: artifacts]
[2024-08-22 12:31:31,848: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:35:57,965: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:35:57,970: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:35:57,973: INFO: common: created directory at: artifacts]
[2024-08-22 12:35:57,975: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:45:32,496: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:45:32,498: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:45:32,500: INFO: common: created directory at: artifacts]
[2024-08-22 12:45:32,501: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:49:40,429: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:49:40,431: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:49:40,433: INFO: common: created directory at: artifacts]
[2024-08-22 12:49:40,434: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:53:37,212: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:53:37,214: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:53:37,217: INFO: common: created directory at: artifacts]
[2024-08-22 12:53:37,218: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 13:00:15,841: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 13:00:15,844: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 13:00:15,846: INFO: common: created directory at: artifacts]
[2024-08-22 13:00:15,848: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 13:02:41,033: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 13:02:41,035: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 13:02:41,036: INFO: common: created directory at: artifacts]
[2024-08-22 13:02:41,038: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 13:06:13,951: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 13:06:13,954: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 13:06:13,956: INFO: common: created directory at: artifacts]
[2024-08-22 13:06:13,958: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 13:16:00,799: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 13:16:00,807: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 13:16:00,809: INFO: common: created directory at: artifacts]
[2024-08-22 13:16:00,811: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 13:17:38,544: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 13:17:38,548: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 13:17:38,549: INFO: common: created directory at: artifacts]
[2024-08-22 13:17:38,550: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 13:20:14,503: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 13:20:14,505: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 13:20:14,507: INFO: common: created directory at: artifacts]
[2024-08-22 13:20:14,508: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 13:21:26,598: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 13:21:26,601: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 13:21:26,602: INFO: common: created directory at: artifacts]
[2024-08-22 13:21:26,604: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 13:21:52,065: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 13:21:52,067: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 13:21:52,069: INFO: common: created directory at: artifacts]
[2024-08-22 13:21:52,070: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 13:23:48,444: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 13:23:48,448: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 13:23:48,449: INFO: common: created directory at: artifacts]
[2024-08-22 13:23:48,451: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 13:27:12,351: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 13:27:12,354: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 13:27:12,357: INFO: common: created directory at: artifacts]
[2024-08-22 13:27:12,359: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 13:27:47,437: INFO: common: yaml file: config\config.yaml loaded successfully]
